"","station","utm_x","utm_y","month","date_ret","year","total","type"
"5","WQ1",294432.2625,3239363.726,"SEPTEMBER",NA,2018,0,"TILE"
"7","WQ1",294432.2625,3239363.726,"NOVEMBER",NA,2018,0,"TILE"
"8","WQ1",294432.2625,3239363.726,"OCTOBER",NA,2018,0,"TILE"
"9","WQ1",294432.2625,3239363.726,"AUGUST",NA,2018,0,"TILE"
"10","WQ1",294432.2625,3239363.726,"DECEMBER",NA,2018,0,"TILE"
"11","WQ1",294432.2625,3239363.726,"JUNE",NA,2018,0,"TILE"
"12","WQ2",296318.8406,3237017.397,"NOVEMBER",NA,2018,0,"TILE"
"14","WQ2",296318.8406,3237017.397,"DECEMBER",NA,2018,0,"TILE"
"15","WQ2",296318.8406,3237017.397,"JUNE",NA,2018,1151,"TILE"
"17","WQ2",296318.8406,3237017.397,"OCTOBER",NA,2018,0,"TILE"
"19","WQ2",296318.8406,3237017.397,"SEPTEMBER",NA,2018,38,"TILE"
"25","WQ3",296853.0847,3235394.366,"OCTOBER",NA,2018,0,"TILE"
"26","WQ3",296853.0847,3235394.366,"SEPTEMBER",NA,2018,12,"TILE"
"27","WQ3",296853.0847,3235394.366,"JULY",NA,2018,4,"TILE"
"29","WQ3",296853.0847,3235394.366,"AUGUST",NA,2018,38,"TILE"
"30","WQ3",296853.0847,3235394.366,"DECEMBER",NA,2018,0,"TILE"
"31","WQ3",296853.0847,3235394.366,"JUNE",NA,2018,1260,"TILE"
"32","WQ3",296853.0847,3235394.366,"NOVEMBER",NA,2018,3,"TILE"
"35","WQ4",296657.402,3235300.409,"DECEMBER",NA,2018,0,"TILE"
"38","WQ4",296657.402,3235300.409,"NOVEMBER",NA,2018,0,"TILE"
"40","WQ4",296657.402,3235300.409,"JULY",NA,2018,0,"TILE"
"41","WQ4",296657.402,3235300.409,"JUNE",NA,2018,199,"TILE"
"42","WQ4",296657.402,3235300.409,"SEPTEMBER",NA,2018,46,"TILE"
"47","WQ5",295776.6448,3237081.32,"DECEMBER",NA,2018,0,"TILE"
"50","WQ5",295776.6448,3237081.32,"AUGUST",NA,2018,59,"TILE"
"51","WQ5",295776.6448,3237081.32,"SEPTEMBER",NA,2018,32,"TILE"
"52","WQ5",295776.6448,3237081.32,"JUNE",NA,2018,967,"TILE"
"53","WQ5",295776.6448,3237081.32,"NOVEMBER",NA,2018,0,"TILE"
"54","WQ5",295776.6448,3237081.32,"OCTOBER",NA,2018,0,"TILE"
"60","WQ6",294200.647,3239291.522,"DECEMBER",NA,2018,0,"TILE"
"61","WQ6",294200.647,3239291.522,"JULY",NA,2018,0,"TILE"
"63","WQ6",294200.647,3239291.522,"AUGUST",NA,2018,0,"TILE"
"64","WQ6",294200.647,3239291.522,"OCTOBER",NA,2018,0,"TILE"
"65","WQ6",294200.647,3239291.522,"SEPTEMBER",NA,2018,13,"TILE"
"66","WQ6",294200.647,3239291.522,"JUNE",NA,2018,0,"TILE"
"67","WQ6",294200.647,3239291.522,"NOVEMBER",NA,2018,0,"TILE"
"68","WQ7",296135.7189,3239475.559,"SEPTEMBER",NA,2018,101,"TILE"
"72","WQ7",296135.7189,3239475.559,"AUGUST",NA,2018,12,"TILE"
"74","WQ7",296135.7189,3239475.559,"OCTOBER",NA,2018,5,"TILE"
"75","WQ7",296135.7189,3239475.559,"DECEMBER",NA,2018,0,"TILE"
"77","WQ7",296135.7189,3239475.559,"NOVEMBER",NA,2018,0,"TILE"
"78","WQ7",296135.7189,3239475.559,"JUNE",NA,2018,920,"TILE"
"82","WQ8",297806.3428,3238300.146,"JULY",NA,2018,469,"TILE"
"84","WQ8",297806.3428,3238300.146,"OCTOBER",NA,2018,8,"TILE"
"85","WQ8",297806.3428,3238300.146,"SEPTEMBER",NA,2018,160,"TILE"
"86","WQ8",297806.3428,3238300.146,"JUNE",NA,2018,955,"TILE"
"88","WQ8",297806.3428,3238300.146,"DECEMBER",NA,2018,0,"TILE"
"89","WQ8",297806.3428,3238300.146,"NOVEMBER",NA,2018,0,"TILE"
"96","WQ9",297581.9315,3235502.473,"NOVEMBER",NA,2018,0,"TILE"
"97","WQ9",297581.9315,3235502.473,"OCTOBER",NA,2018,0,"TILE"
"99","WQ9",297581.9315,3235502.473,"JULY",NA,2018,410,"TILE"
"100","WQ9",297581.9315,3235502.473,"JUNE",NA,2018,1223,"TILE"
"101","WQ9",297581.9315,3235502.473,"AUGUST",NA,2018,5,"TILE"
"102","WQ9",297581.9315,3235502.473,"SEPTEMBER",NA,2018,23,"TILE"
"103","WQ9",297581.9315,3235502.473,"DECEMBER",NA,2018,0,"TILE"
